5687563887,21.4318165,41.9944177,Centar,BubbleWaffle's,waffle,fast_food
5692608680,21.4236496,41.9990664,Centar,Gostilnica Estel,kebab,restaurant
5813417254,21.4200655,42.0009079,Centar,"Кафана ""Дебар Маало""",savory_pancakes;german;chicken;diner;american;local;barbecue;tea;fine_dining;cake;pasta;international;french;greek;seafood;fish_and_chips;pancake;sandwich;coffee_shop;balkan;mediterranean;croatian;ramen;turkish;fish;kebab;grill,restaurant
5825276233,21.4328019,41.9947174,Centar,Bakal bakery Cafe,,
6030001487,21.4329109,41.995252,Centar,A&M Bakery,,
6054035533,21.4226434,41.998952,Centar,Жито лев,,
6054048692,21.4184238,41.9993211,Centar,Cafe Pauza,,fast_food
6054048705,21.4356281,41.9995711,Centar,Austrian Palace,german,restaurant
6054049791,21.4302935,41.9948126,Centar,Жито леб,,
6054049792,21.4307088,41.9946969,Centar,Специјал (Рекорд),,
6054050099,21.4135121,41.9947932,Centar,Воденица,,restaurant
6102488864,21.4199442,41.9959518,Centar,Restoran Frosina,local,restaurant
6342814985,21.4172538,41.9995856,Centar,Специјал (Универзална Сала),,
6342814986,21.4201393,41.9993939,Centar,Вршник,,
6342814987,21.4229234,41.998251,Centar,Диман,,
6353179093,21.432686,41.9953181,Centar,Breadway Bakery,,
6466706626,21.4245297,41.9947907,Centar,Pastel,,
6466815592,21.4276677,41.996427,Centar,Коки,,
6632801985,21.434863,41.995366,Centar,La Puerta,mexican,fast_food
6788977446,21.4131738,41.9995518,Centar,Vega,,restaurant
6811622585,21.4358076,41.9997339,Centar,Engin Cigköfte (vegetarian),sandwich;turkish,fast_food
6814231688,21.4364213,42.0006226,Centar,Tako mako,,restaurant
6814231702,21.4285563,41.9969456,Centar,Markt kitchen,,restaurant
6814236587,21.4224937,42.0019483,Centar,Skopsko,,restaurant
6814245589,21.4219242,42.0017089,Centar,Schpajs,,restaurant
6814246691,21.436443,42.0005272,Centar,Don Giovanni,,restaurant
6814246726,21.4283051,41.9982749,Centar,Море Маниа,,restaurant
6815434690,21.4176339,42.00005,Centar,Петле,,fast_food
6815454785,21.4244578,41.9945241,Centar,Букет,,restaurant
6815918386,21.4243264,41.9963262,Centar,Mosh,,restaurant
6815931187,21.4323639,41.9958593,Centar,Burger King,burger,fast_food
6815931392,21.4186405,42.0026188,Centar,Metzka,,restaurant
6821158588,21.4243092,41.9942446,Centar,Davidoff,,restaurant
7027229685,21.4352029,41.993295,Centar,Ресторан Национал,,restaurant
7027229686,21.4283137,41.996324,Centar,Кај Јоле,,restaurant
7528237388,21.4308681,41.9923177,Centar,Per te,,fast_food
8188519796,21.4263872,41.9968334,Centar,ЈЕС Паста,pasta,fast_food
8549720690,21.4162609,42.0009144,Centar,Subzy,sandwich,fast_food
8745631651,21.427727,41.994279,Centar,Paradise Food,,restaurant
8745676374,21.4283944,41.9931575,Centar,Brisket Sandwich Bar,sandwich;burger;chips,fast_food
8946991737,21.4206316,42.0013583,Centar,Fluffy,waffle,fast_food
9200216340,21.4142957,42.0006689,Centar,Mexican street food,,restaurant
9200216346,21.4171233,41.9970867,Centar,Боко,burger;regional;grill;coffee_shop;balkan;kebab;pizza,restaurant
9200216562,21.4252785,41.9932172,Centar,Spizzicotto,,fast_food
9265163562,21.423662,42.0053837,Centar,Кај Вршац,,restaurant
10147053074,21.4232203,41.9998586,Centar,Baeggel,,restaurant
10151360411,21.4250341,42.0005347,Centar,Mama,french;sandwich,restaurant
10154536448,21.4229717,42.0013267,Centar,Бурек Кај Куки,,
10175447382,21.4373719,41.9946991,Centar,Plaset Doner & Burger,,fast_food
933634409,21.4597832,41.9896275,Aerodrom,Fast food 7,,fast_food
1535266560,21.4820381,41.9782792,Aerodrom,Ресторан Рагуза 919,,restaurant
1676857177,21.4871492,41.9843967,Aerodrom,Рибен ресторан Рибар (Одисеја),fish,restaurant
2883877896,21.4522729,41.9914536,Aerodrom,Every Day,,restaurant
2887575858,21.4635675,41.9893772,Aerodrom,Лесковачка Вили,,fast_food
3099334943,21.4455764,41.9913694,Aerodrom,Slatki burek,,
3099334944,21.4453672,41.991182,Aerodrom,Burek,,
3304519276,21.4634495,41.9892217,Aerodrom,Лесковац,,fast_food
3663791822,21.4755231,41.9811549,Aerodrom,Royal Burger,burger,fast_food
3830455732,21.4725098,41.9824716,Aerodrom,Pizza Amica,,restaurant
4016557277,21.4667276,41.9856123,Aerodrom,Campione lounge Bar,italian,restaurant
4016557278,21.4661426,41.9859376,Aerodrom,DejaVu Lounge,french,restaurant
4318400296,21.4655483,41.9915744,Aerodrom,Златна вилушка,,restaurant
4355253301,21.4531813,41.9877171,Aerodrom,Лесковачка Вили,,fast_food
4355269208,21.4546638,41.988117,Aerodrom,ваташа,,
4355675606,21.4826074,41.9788465,Aerodrom,Ресторан Златник,,restaurant
4407370494,21.4520843,41.9883207,Aerodrom,еквестријан,,restaurant
4976334922,21.4640869,41.9913259,Aerodrom,Т'га за југ,,restaurant
5072397092,21.4633394,41.9914306,Aerodrom,Пицерија Фамилија,,restaurant
