@id,@lon,@lat,place,name,cuisine,amenity
309894643,21.4315704,41.9953933,Centar,Пелистер,italian,restaurant
411006922,21.4140669,41.9947432,Centar,Интермецо,,restaurant
459668143,21.4307036,42.0047876,Centar,Под Кале,,restaurant
459668914,21.4342799,41.9943261,Centar,Кај Џино,italian,restaurant
459669063,21.4350117,41.9952456,Centar,Плаза де Торос,latin_american,restaurant
470916907,21.4268596,42.0003611,Centar,Жито Леб,,fast_food
696669231,21.4368796,41.9869006,Centar,иВ,,restaurant
1355336585,21.4173939,42.0008922,Centar,Сендвичара Попе,sandwich,fast_food
1380378702,21.415982,41.9985008,Centar,Боеми,,restaurant
1381654588,21.4217901,41.9990725,Centar,Гирадико,kebab,fast_food
1747649203,21.4151525,41.9946274,Centar,Крчма,,restaurant
1747986304,21.4308935,41.986975,Centar,Вегера,,
1747992142,21.4158854,41.9930603,Centar,,,
1748017566,21.4205283,41.9904388,Centar,Sveti Nikole,,
1748017584,21.4204907,41.9904847,Centar,Marana,regional,restaurant
1751563134,21.4245254,41.9947645,Centar,Pastel Wine & Dine,international,restaurant
1752178268,21.4163482,41.9922398,Centar,511,italian,restaurant
1770866402,21.4207447,41.9987097,Centar,Пицерија Либертас,pizza,restaurant
1866179709,21.4302496,41.9930256,Centar,Pizza FRESKO,italian,fast_food
1867176020,21.4304595,41.9957062,Centar,Тренд,international,restaurant
1868812117,21.4204158,41.9987513,Centar,Дестан,barbecue,restaurant
1870054369,21.4275995,41.9935009,Centar,Гиро,,fast_food
1985948203,21.416522,41.9922245,Centar,Balila,italian,restaurant
1999633538,21.4280088,41.9913688,Centar,Бифиња - Рамстор,,restaurant
2004988891,21.42817,41.9886496,Centar,,,
2005446929,21.4126329,41.9932377,Centar,,,
2105387352,21.4252581,42.0001581,Centar,Бруклински,,restaurant
2159535851,21.4347685,41.9953199,Centar,Бела виста,international,restaurant
2294320125,21.4080594,41.993167,Centar,Два Елена,,restaurant
2322886873,21.4302915,41.9952825,Centar,Арабеска,regional,restaurant
2858315264,21.4167758,42.0035281,Centar,DM Restaurant,regional,fast_food
3197576080,21.4174292,42.0001055,Centar,Пекара Силбо,,
3341289789,21.4297981,41.9925716,Centar,Damaskino,,restaurant
3341289791,21.4292661,41.9924211,Centar,Pekara Bageti,,
3484100383,21.4223968,41.9914096,Centar,,,fast_food
3484100384,21.4231542,41.9917018,Centar,Dal Fufo - Galija,,restaurant
3484101195,21.4207515,41.9906511,Centar,MFC - Macedonian Fried Chicken,burger,fast_food
3505013893,21.4319604,41.9947506,Centar,Destan,kebab,restaurant
3505013993,21.4317257,41.9950911,Centar,Ла Тераца,italian,restaurant
3599381821,21.4227365,41.9983386,Centar,Ла Делишес,regional,
3623547525,21.4238539,41.9952491,Centar,Burger Friends,burger,fast_food
3832366895,21.4197865,41.9898813,Centar,Жито,,
3832366896,21.4197501,41.9898733,Centar,,,fast_food
3832475135,21.4427246,41.9922973,Centar,Лезет,,restaurant
3832475147,21.4422139,41.9922032,Centar,Кај Злате,,restaurant
4004645106,21.4301301,41.9957324,Centar,Пекинг Гарден,chinese,restaurant
4101107990,21.4365756,41.9871974,Centar,Makedonska sofra,,restaurant
4126731965,21.434577,41.9973163,Centar,Sky ресторанот,international,restaurant
4149490289,21.4300742,41.9933026,Centar,Amigos Мексиканска Кантина,mexican,restaurant
4190893589,21.4237032,42.0000584,Centar,Пемпеле,,fast_food
